< 		<string>Allow JPEG compression</string>
> 		<string>すべての画像ピクセル(RGB、アルファ[A]、輝度[Y]、色度[RY,BY]の各チャンネルを含む)で使用するピクセルデータタイプを選択します</string>
< 		<string>Choose how to handle exporting layer effects. Affinity handles layer effects in a different way to other apps, so editable layer effects may appear different in other applications. Some third party applications may also not support layer effects.</string>
> 		<string>すべての空間ピクセル(XYZ、Z、ZBackを含む)で使用するピクセルデータタイプを選択します</string>
< 		<string>Choose how to handle exporting vector strokes. Some third party applications may not support vector strokes even if they support vector masks.</string>
> 		<string>トップレベルのクリッピングカーブをベクトルパスに変換</string>
< 		<string>Choose the pixel data type to use for all image pixels (inluding RGB, Alpha [A], Luminance [Y] and Chroma [RY,BY] channels)</string>
> 		<string>マルチチャンネルファイルとして書き出し、チャンネルの名前付けに基づいてレイヤーをチャンネルに分割します</string>
< 		<string>Choose the pixel data type to use for all other pixels (inluding unknown channels)</string>
> 		<string>メタデータが埋め込まれます</string>
< 		<string>Choose the pixel data type to use for all spacial pixels (inluding XYZ, Z and ZBack)</string>
> 		<string>メタデータが埋め込まれます</string>
< 		<string>Chose how to handle exporting advanced blending options. Some third party applications may not support advanced blending options.</string>
> 		<string>メタデータが埋め込まれます</string>
< 		<string>Chose the resampler to use when resizing raster elements</string>
> 		<string>メタデータが埋め込まれます</string>
< 		<string>Compatibility mode is required for many third party applications that do not handle PSD vector masks. Results in larger file sizes.</string>
> 		<string>メタデータが埋め込まれます</string>
< 		<string>Convert top level clipping cuves to vector paths</string>
> 		<string>ラスター要素のサイズ変更時に使用するリサンプラーを決定します</string>
< 		<string>Export as a multi channel file, where layers are split into channels based on channel naming</string>
> 		<string>レイヤーコンテンツ(ラスターおよびベクトルマスク、レイヤー効果および調整など)をラスタライズします</string>
< 		<string>Export layers with indeterminable channels as a single channel base on luminance</string>
> 		<string>不確定なチャンネルを輝度に基づく単一のチャネルとして用いてレイヤーを書き出します</string>
< 		<string>Metadata will be embedded</string>
> 		<string>他のすべてのピクセル(不明なチャンネルを含む)で使用するピクセルデータタイプを選択します</string>
< 		<string>Metadata will be embedded</string>
> 		<string>出力ファイル名に基づいて見つけたOCIOカラープロファイルが適用されます</string>
< 		<string>Metadata will be embedded</string>
> 		<string>書き出し用の高度なブレンディングオプションの処理方法を決定します。一部のサードパーティアプリケーションでは、高度なブレンディングオプションがサポートされていない場合があります。</string>
< 		<string>Metadata will be embedded</string>
> 		<string>書き出し用グラデーションの処理方法を決定します。Affinityではグラデーションの処理方法が他のアプリとは異なるので、編集可能なグラデーションは他のアプリケーションで同じように表示されない可能性があります。</string>
< 		<string>Metadata will be embedded</string>
> 		<string>書き出し用ベクトルストロークの処理方法を決定します。一部のサードパーティアプリケーションでは、たとえベクトルマスクがサポートされていても、ベクトルストロークはサポートされていない場合があります。</string>
< 		<string>Rasterise layer contents (including raster and vector masks, layer effects and adjustments)</string>
> 		<string>書き出し用レイヤー効果の処理方法を決定します。Affinityではレイヤー効果の処理方法が他のアプリとは異なるので、編集可能なレイヤー効果は他のアプリケーションで同じように表示されない可能性があります。一部のサードパーティアプリケーションでは、レイヤー効果がサポートされていない場合もあります。</string>
< 		<string>Selection contains multiple DPI settings</string>
> 		<string>書き出し用調整レイヤーの処理方法を決定します。Affinityでは調整の処理方法が他のアプリとは異なるので、編集可能な調整は他のアプリケーションで同じように表示されない可能性があります。一部のサードパーティアプリケーションでは、調整がサポートされていない場合もあります。</string>
< 		<string>Selection contains multiple DPI settings</string>
> 		<string>選択範囲にラスターとしての書き出しに関する複数のオプションが含まれています</string>
< 		<string>Selection contains multiple ICC embedding options</string>
> 		<string>選択範囲に最小ファイルサイズに関する複数のオプションが含まれています</string>
< 		<string>Selection contains multiple ICC profiles</string>
> 		<string>選択範囲に複数のDPI設定が含まれています</string>
< 		<string>Selection contains multiple adjustment strategies</string>
> 		<string>選択範囲に複数のDPI設定が含まれています</string>
< 		<string>Selection contains multiple advanced blending strategies</string>
> 		<string>選択範囲に複数のICCプロファイルが含まれています</string>
< 		<string>Selection contains multiple colour counts</string>
> 		<string>選択範囲に複数のICC埋め込みオプションが含まれています</string>
< 		<string>Selection contains multiple compatibility mode options</string>
> 		<string>選択範囲に複数のグラデーション方式が含まれています</string>
< 		<string>Selection contains multiple compression settings</string>
> 		<string>選択範囲に複数のダウンサンプル設定が含まれています</string>
< 		<string>Selection contains multiple compression types</string>
> 		<string>選択範囲に複数のパスに変換設定が含まれています</string>
< 		<string>Selection contains multiple convert to paths settings</string>
> 		<string>選択範囲に複数のパレットタイプが含まれています</string>
< 		<string>Selection contains multiple downsample settings</string>
> 		<string>選択範囲に複数のピクセルタイプが含まれています</string>
< 		<string>Selection contains multiple embed metadata options</string>
> 		<string>選択範囲に複数のピクセルタイプが含まれています</string>
< 		<string>Selection contains multiple embed metadata options</string>
> 		<string>選択範囲に複数のピクセルタイプが含まれています</string>
< 		<string>Selection contains multiple embed metadata options</string>
> 		<string>選択範囲に複数のピクセル形式が含まれています</string>
< 		<string>Selection contains multiple embed metadata options</string>
> 		<string>選択範囲に複数のプログレッシブ設定が含まれています</string>
< 		<string>Selection contains multiple embed metadata options</string>
> 		<string>選択範囲に複数のマットカラーが含まれています</string>
< 		<string>Selection contains multiple export as raster options</string>
> 		<string>選択範囲に複数のマットカラーが含まれています</string>
< 		<string>Selection contains multiple gradient strategies</string>
> 		<string>選択範囲に複数のライン方式が含まれています</string>
< 		<string>Selection contains multiple layer effects strategies</string>
> 		<string>選択範囲に複数のラスタライズ設定が含まれています</string>
< 		<string>Selection contains multiple line strategies</string>
> 		<string>選択範囲に複数のリサンプラーが含まれています</string>
< 		<string>Selection contains multiple matte colours</string>
> 		<string>選択範囲に複数のリサンプラータイプが含まれています</string>
< 		<string>Selection contains multiple matte colours</string>
> 		<string>選択範囲に複数のリサンプラータイプが含まれています</string>
< 		<string>Selection contains multiple palette types</string>
> 		<string>選択範囲に複数のリサンプラータイプが含まれています</string>
< 		<string>Selection contains multiple palettise choices</string>
> 		<string>選択範囲に複数のレイヤー効果方式が含まれています</string>
< 		<string>Selection contains multiple pixel formats</string>
> 		<string>選択範囲に複数の互換性モードオプションが含まれています</string>
< 		<string>Selection contains multiple pixel types</string>
> 		<string>選択範囲に複数の品質値が含まれています</string>
< 		<string>Selection contains multiple pixel types</string>
> 		<string>選択範囲に複数の品質値が含まれています</string>
< 		<string>Selection contains multiple pixel types</string>
> 		<string>選択範囲に複数の圧縮タイプが含まれています</string>
< 		<string>Selection contains multiple progressive settings</string>
> 		<string>選択範囲に複数の圧縮設定が含まれています</string>
< 		<string>Selection contains multiple quality values</string>
> 		<string>選択範囲に複数の埋め込みメタデータオプションが含まれています</string>
< 		<string>Selection contains multiple quality values</string>
> 		<string>選択範囲に複数の埋め込みメタデータオプションが含まれています</string>
< 		<string>Selection contains multiple rasterise settings</string>
> 		<string>選択範囲に複数の埋め込みメタデータオプションが含まれています</string>
< 		<string>Selection contains multiple resampler types</string>
> 		<string>選択範囲に複数の埋め込みメタデータオプションが含まれています</string>
< 		<string>Selection contains multiple resampler types</string>
> 		<string>選択範囲に複数の埋め込みメタデータオプションが含まれています</string>
< 		<string>Selection contains multiple resampler types</string>
> 		<string>選択範囲に複数の減色の選択肢が含まれています</string>
< 		<string>Selection contains multiple resamplers</string>
> 		<string>選択範囲に複数の色数が含まれています</string>
< 		<string>Selection contains multiple settings</string>
> 		<string>選択範囲に複数の設定が含まれています</string>
< 		<string>Selection contains multiple settings</string>
> 		<string>選択範囲に複数の設定が含まれています</string>
< 		<string>Selection contains multiple settings</string>
> 		<string>選択範囲に複数の設定が含まれています</string>
< 		<string>Selection contains multiple settings</string>
> 		<string>選択範囲に複数の設定が含まれています</string>
< 		<string>Selection contains multiple settings</string>
> 		<string>選択範囲に複数の設定が含まれています</string>
< 		<string>Selection contains multiple settings</string>
> 		<string>選択範囲に複数の設定が含まれています</string>
< 		<string>Selection contains multiple settings</string>
> 		<string>選択範囲に複数の設定が含まれています</string>
< 		<string>Selection contains multiple settings</string>
> 		<string>選択範囲に複数の設定が含まれています</string>
< 		<string>Selection contains multiple settings</string>
> 		<string>選択範囲に複数の設定が含まれています</string>
< 		<string>Selection contains multiple settings</string>
> 		<string>選択範囲に複数の設定が含まれています</string>
< 		<string>Selection contains multiple settings</string>
> 		<string>選択範囲に複数の設定が含まれています</string>
< 		<string>Selection contains multiple settings</string>
> 		<string>選択範囲に複数の設定が含まれています</string>
< 		<string>Selection contains multiple settings</string>
> 		<string>選択範囲に複数の設定が含まれています</string>
< 		<string>Selection contains multiple settings</string>
> 		<string>選択範囲に複数の設定が含まれています</string>
< 		<string>Selection contains multiple settings</string>
> 		<string>選択範囲に複数の設定が含まれています</string>
< 		<string>Selection contains multiple settings</string>
> 		<string>選択範囲に複数の設定が含まれています</string>
< 		<string>Selection contains multiple settings</string>
> 		<string>選択範囲に複数の設定が含まれています</string>
< 		<string>Selection contains multiple settings</string>
> 		<string>選択範囲に複数の設定が含まれています</string>
< 		<string>Selection contains multiple settings</string>
> 		<string>選択範囲に複数の設定が含まれています</string>
< 		<string>Selection contains multiple settings</string>
> 		<string>選択範囲に複数の設定が含まれています</string>
< 		<string>Selection contains multiple settings</string>
> 		<string>選択範囲に複数の設定が含まれています</string>
< 		<string>Selection contains multiple settings</string>
> 		<string>選択範囲に複数の設定が含まれています</string>
< 		<string>Selection contains multiple settings</string>
> 		<string>選択範囲に複数の設定が含まれています</string>
< 		<string>Selection contains multiple settings</string>
> 		<string>選択範囲に複数の設定が含まれています</string>
< 		<string>Selection contains multiple settings</string>
> 		<string>選択範囲に複数の設定が含まれています</string>
< 		<string>Selection contains multiple settings</string>
> 		<string>選択範囲に複数の設定が含まれています</string>
< 		<string>Selection contains multiple settings</string>
> 		<string>選択範囲に複数の設定が含まれています</string>
< 		<string>Selection contains multiple settings</string>
> 		<string>選択範囲に複数の設定が含まれています</string>
< 		<string>Selection contains multiple settings</string>
> 		<string>選択範囲に複数の設定が含まれています</string>
< 		<string>Selection contains multiple smallest file size options</string>
> 		<string>選択範囲に複数の調整方式が含まれています</string>
< 		<string>Use Zip compression where it results in smaller file sizes. Files may not be compatible with some third party applications.</string>
> 		<string>選択範囲に高度なブレンディング方式が複数含まれています</string>
