< > 		<string>最近使用したドキュメントを開く</string>
< < 		<string>Double Right Quote</string>
< > 		<string>右二重引用符</string>
< < 		<string>AutoFit Column(s)</string>
< > 		<string>列を自動調整</string>
< < 		<string>Greater Than or Equal</string>
< > 		<string>以上</string>
> > 		<string>왼쪽 균등 정렬</string>
< > 		<string>フィギュアダッシュ</string>
< < 		<string>Find Previous</string>
< > 		<string>前を検索</string>
> > 		<string>숫자 줄표</string>
< > 		<string>新規レイヤー</string>
> > 		<string>신규 레이어</string>
< > 		<string>内側にペースト</string>
< < 		<string>Sentence Case</string>
< > 		<string>センテンスケース</string>
> > 		<string>안으로 붙이기</string>
< > 		<string>何も使用しない</string>
> > 		<string>합자 없음</string>
< > 		<string>デフォルトを使用</string>
< < 		<string>Not Equal</string>
< > 		<string>等しくない</string>
> > 		<string>기준선 재설정</string>
< > 		<string>明るさ/コントラスト</string>
< < 		<string>Expand List</string>
< > 		<string>リストを展開</string>
> > 		<string>명암 / 대비</string>
< > 		<string>明暗別色補正</string>
> > 		<string>분할 색조</string>
< > 		<string>次の要素を選択</string>
< < 		<string>Evenly Distribute Column(s)</string>
< > 		<string>列を均等配置</string>
> > 		<string>다음 항목 선택</string>
< > 		<string>厳密な縮小</string>
> > 		<string>조금씩 작게</string>
< > 		<string>ソフトハイフン</string>
> > 		<string>하이픈</string>
< > 		<string>なし</string>
< < 		<string>Highlight Fields</string>
< > 		<string>フィールドのハイライト表示</string>
> > 		<string>없음</string>
< > 		<string>ようこそ...</string>
> > 		<string>환영...</string>
< > 		<string>左揃え</string>
< < 		<string>Insert Table of Contents</string>
< > 		<string>目次の挿入</string>
< < 		<string>Show Text Ruler</string>
< > 		<string>テキストルーラーを表示</string>
< < 		<string>First Page</string>
< > 		<string>最初のページ</string>
> > 		<string>왼쪽 정렬</string>
< > 		<string>すべて使用</string>
> > 		<string>모두 합자</string>
< > 		<string>垂直方向に等間隔配置</string>
> > 		<string>세로 공백</string>
< > 		<string>スペルオプション…</string>
< < 		<string>Section Name</string>
< > 		<string>セクション名</string>
< < 		<string>Insert Index Mark</string>
< > 		<string>インデックスマークを挿入</string>
> > 		<string>철자 설정…</string>
< > 		<string>文字スタイルを更新</string>
< < 		<string>Last Page</string>
< > 		<string>最後のページ</string>
> > 		<string>문자 스타일 업데이트</string>
< > 		<string>右揃え</string>
> > 		<string>오른쪽 정렬</string>
< > 		<string>カーブ</string>
< < 		<string>Odd Page Break</string>
< > 		<string>奇数改ページ</string>
> > 		<string>곡선</string>
< > 		<string>シングルビュー</string>
< < 		<string>Preview Mode</string>
< > 		<string>プレビューモード</string>
> > 		<string>단일 뷰 모드</string>
< > 		<string>除算</string>
< < 		<string>Delete Page</string>
< > 		<string>ページを削除</string>
> > 		<string>분할</string>
< > 		<string>ガイドをロック</string>
< < 		<string>Hair Space</string>
< > 		<string>極細スペース</string>
> > 		<string>안내선 잠금</string>
< > 		<string>キャンバスに合わせてクリップ</string>
< < 		<string>Lower Case</string>
< > 		<string>小文字にする</string>
> > 		<string>캔버스에 클립</string>
< > 		<string>文字スタイルなしを設定</string>
> > 		<string>문자 스타일 벗기기</string>
< > 		<string>分離モード</string>
> > 		<string>분리 모드</string>
< > 		<string>斜体</string>
< < 		<string>Restart Numbering</string>
< > 		<string>番号の振り直し</string>
< < 		<string>Edit Frame Content</string>
< > 		<string>フレームコンテンツを編集</string>
< < 		<string>Show Special Characters</string>
< > 		<string>特殊文字を表示</string>
> > 		<string>기울임</string>
< > 		<string>下揃え</string>
> > 		<string>아래쪽 정렬</string>
< > 		<string>分散禁止スペース</string>
< < 		<string>Select on Right</string>
< > 		<string>右で選択</string>
> > 		<string>줄 바꿈 없는 공백</string>
< > 		<string>オールキャップス</string>
> > 		<string>모두 대문자</string>
< > 		<string>以前のビューポイントに移動</string>
> > 		<string>이전 뷰 포인트로 이동</string>
< > 		<string>改行</string>
< < 		<string>Sixth Space</string>
< > 		<string>6分の1スペース</string>
> > 		<string>줄바꿈</string>
< > 		<string>グラデーションマップ</string>
> > 		<string>그레이디언트 맵</string>
< > 		<string>ベースラインを厳密に上げる</string>
> > 		<string>기준선 조금씩 올리기</string>
< > 		<string>縮小</string>
> > 		<string>작게</string>
< > 		<string>ベースラインを下げる</string>
< < 		<string>Find...</string>
< > 		<string>検索...</string>
> > 		<string>기준선 내리기</string>
< > 		<string>ガイドマネージャー…</string>
< < 		<string>Upper Case</string>
< > 		<string>大文字にする</string>
> > 		<string>안내선 관리자…</string>
< > 		<string>カラムガイドを表示</string>
< < 		<string>Move Page Content</string>
< > 		<string>ページコンテンツを移動</string>
< < 		<string>Figure Space</string>
< > 		<string>フィギュアスペース</string>
> > 		<string>열 안내선 보기</string>
< > 		<string>上</string>
< < 		<string>Right Indent Tab</string>
< > 		<string>右インデントタブ</string>
< > 		<string>左揃え</string>
> > 		<string>위쪽</string>
< > 		<string>露出</string>
> > 		<string>노출</string>
< > 		<string>マージンを表示</string>
< > 		<string>デフォルトを使用</string>
> > 		<string>여백선 보기</string>
< > 		<string>上付き文字</string>
< < 		<string>Delete Column(s)</string>
< > 		<string>列を削除</string>
< < 		<string>Decrease Level</string>
< > 		<string>レベルを下げる</string>
< < 		<string>Insert Anchor…</string>
< > 		<string>アンカーを挿入…</string>
< < 		<string>Sort by Column Ascending</string>
< > 		<string>列を昇順に並べ替え</string>
< < 		<string>Edit Detached</string>
< > 		<string>切り離しを編集</string>
< < 		<string>Infinity</string>
< > 		<string>無限大</string>
> > 		<string>윗첨자</string>
< > 		<string>均等配置(最終行中央揃え)</string>
> > 		<string>가운데 균등 정렬</string>
< > 		<string>スタイルを作成</string>
> > 		<string>스타일 생성</string>
< > 		<string>中央揃え</string>
> > 		<string>가로 가운데 정렬</string>
< > 		<string>右に回転</string>
< < 		<string>Find Next</string>
< > 		<string>次を検索</string>
> > 		<string>오른쪽으로 회전</string>
< > 		<string>幅に合わせてズーム</string>
< < 		<string>Edit Linked</string>
< > 		<string>リンクを編集</string>
< < 		<string>Sort by Row Ascending</string>
< > 		<string>行を昇順に並べ替え</string>
> > 		<string>화면 너비에 맞추기</string>
< > 		<string>シャドウ/ハイライト</string>
< > 		<string>デフォルトを使用</string>
> > 		<string>그림자 / 빛</string>
< > 		<string>厳密な縮小</string>
> > 		<string>조금씩 줄이기</string>
< > 		<string>前の要素を選択</string>
> > 		<string>이전 항목 선택</string>
< > 		<string>下</string>
> > 		<string>아래</string>
< > 		<string>均等配置(最終行右揃え)</string>
> > 		<string>오른쪽 균등 정렬</string>
< > 		<string>ベースラインを厳密に下げる</string>
< < 		<string>Inverted Question Mark</string>
< > 		<string>逆疑問符</string>
< < 		<string>Less Than or Equal</string>
< > 		<string>以下</string>
> > 		<string>기준선 조금씩 낮추기</string>
< > 		<string>チュートリアル...</string>
> > 		<string>튜토리얼...</string>
< > 		<string>ロック</string>
> > 		<string>잠금</string>
< > 		<string>テキストスタイルを表示</string>
> > 		<string>텍스트 스타일 보기</string>
< > 		<string>次のビューポイントに移動</string>
< < 		<string>Sort Options...</string>
< > 		<string>並べ替えオプション...</string>
< < 		<string>Passthrough PDF</string>
< > 		<string>パススルーPDF</string>
< < 		<string>Rasterise...</string>
< > 		<string>ラスタライズ...</string>
< < 		<string>Single Right Quote</string>
< > 		<string>右一重引用符</string>
> > 		<string>다음 뷰 포인트로 이동</string>
< > 		<string>垂直方向に均等配置</string>
< < 		<string>Number</string>
< > 		<string>数</string>
> > 		<string>세로 분배</string>
< > 		<string>コンテキストツールバーを表示</string>
> > 		<string>상황별 툴바 보기</string>
< > 		<string>全角スペース</string>
> > 		<string>전각 공백</string>
< > 		<string>反転</string>
> > 		<string>반전</string>
< > 		<string>しきい値</string>
< < 		<string>Show Text Flow</string>
< > 		<string>テキストフローを表示</string>
> > 		<string>역치</string>
< > 		<string>ツールをドッキング</string>
> > 		<string>도구 고정</string>
< > 		<string>UI切り替え</string>
> > 		<string>UI 가리기</string>
< > 		<string>Finderで表示</string>
> > 		<string>Finder에서 찾기</string>
< > 		<string>ロックを解除</string>
< < 		<string>Plus Minus</string>
< > 		<string>プラスマイナス</string>
> > 		<string>잠금 풀기</string>
< > 		<string>すべて選択</string>
< < 		<string>Bullet</string>
< > 		<string>箇条書き</string>
> > 		<string>전체 선택</string>
< > 		<string>下線</string>
> > 		<string>밑줄</string>
< > 		<string>書き出し…</string>
> > 		<string>내보내기…</string>
< > 		<string>テンプレートとして書き出し...</string>
< < 		<string>Thin Space</string>
< > 		<string>細いスペース</string>
< < 		<string>Punctuation Space</string>
< > 		<string>句読点幅スペース</string>
> > 		<string>템플릿으로 내보내기…</string>
< > 		<string>すべてロック解除</string>
> > 		<string>모두 잠금 풀기</string>
< > 		<string>さらに狭める</string>
> > 		<string>더욱 좁게</string>
< > 		<string>リソースマネージャー...</string>
> > 		<string>자원 관리자...</string>
< > 		<string>アップデートの有無をチェック</string>
> > 		<string>업데이트 확인</string>
< > 		<string>両端揃え</string>
> > 		<string>맞춤</string>
< > 		<string>文字を表示</string>
< < 		<string>Reset Wrap Outline</string>
< > 		<string>回り込み境界をリセット</string>
< < 		<string>Separate Cells</string>
< > 		<string>セルを分離</string>
< > 		<string>何も使用しない</string>
< > 		<string>上</string>
< < 		<string>Save as Regression Unit</string>
< > 		<string>回帰単位として保存</string>
> > 		<string>문자 보기</string>
< > 		<string>半角スペース</string>
> > 		<string>반각 공백</string>
< > 		<string>タイポグラフィを表示</string>
> > 		<string>타이포그래피 보기</string>
< > 		<string>選択解除</string>
< < 		<string>Delete Anchor</string>
< > 		<string>アンカーを削除</string>
> > 		<string>선택 해제</string>
< > 		<string>レンズフィルター</string>
< < 		<string>Double Left Quote</string>
< > 		<string>左二重引用符</string>
< < 		<string>Align Towards Spine</string>
< > 		<string>のど側に揃える</string>
> > 		<string>렌즈 필터</string>
< > 		<string>左右反転</string>
< < 		<string>Dagger</string>
< > 		<string>ダガー</string>
> > 		<string>가로 뒤집기</string>
< > 		<string>表示</string>
> > 		<string>보기</string>
< > 		<string>最背面に移動</string>
< < 		<string>Show Table</string>
< > 		<string>表を表示</string>
< < 		<string>Place Linked HTTP Affinity Document</string>
< > 		<string>リンクされたHTTP Affinityドキュメントを配置</string>
< > 		<string>箇条書き</string>
< > 		<string>左揃え</string>
< < 		<string>Page Break</string>
< > 		<string>改ページ</string>
> > 		<string>맨 뒤로 보내기</string>
< > 		<string>段落を表示</string>
< < 		<string>Move Page</string>
< > 		<string>ページを移動</string>
> > 		<string>문단 보기</string>
< > 		<string>拡げる</string>
> > 		<string>넓게</string>
< > 		<string>レイヤーエフェクト…</string>
> > 		<string>레이어 효과…</string>
< > 		<string>上下中央揃え</string>
> > 		<string>세로 가운데 정렬</string>
< > 		<string>追加</string>
< < 		<string>Previous Page</string>
< > 		<string>前のページ</string>
> > 		<string>추가</string>
< > 		<string>実寸</string>
< < 		<string>Designer Persona</string>
< > 		<string>デザイナーペルソナ</string>
> > 		<string>실제 크기</string>
< > 		<string>テキストスタイルを再適用</string>
> > 		<string>텍스트 스타일 다시 적용</string>
< > 		<string>ピクセルサイズ</string>
< < 		<string>Quarter Space</string>
< > 		<string>4分の1スペース</string>
< < 		<string>Font Manager...</string>
< > 		<string>フォントマネージャー...</string>
> > 		<string>픽셀 크기</string>
< > 		<string>ホワイトバランス</string>
< < 		<string>Pi</string>
< > 		<string>パイ</string>
> > 		<string>화이트 밸런스</string>
< > 		<string>復元</string>
< < 		<string>Dump MasterPage Node</string>
< > 		<string>マスターページノードのダンプ</string>
> > 		<string>되돌리기</string>
< > 		<string>グループ解除</string>
> > 		<string>그룹 풀기</string>
< > 		<string>半角ダッシュ</string>
< < 		<string>Paragraph Marker</string>
< > 		<string>段落記号</string>
< < 		<string>Created Date</string>
< > 		<string>作成日</string>
< < 		<string>Section Marker</string>
< > 		<string>セクション記号</string>
> > 		<string>반각 줄표</string>
< > 		<string>排他的論理和</string>
> > 		<string>배타적논리합</string>
< > 		<string>除外(複合)</string>
< < 		<string>Insert Column</string>
< > 		<string>列を挿入</string>
> > 		<string>제거 (결합)</string>
< > 		<string>段落スタイルなしを設定</string>
< < 		<string>Inline In Text</string>
< > 		<string>テキスト内にインライン表示</string>
> > 		<string>문단 스타일 벗기기</string>
< > 		<string>太字</string>
> > 		<string>강조</string>
< > 		<string>ポスタライズ</string>
< < 		<string>Compare Master Spreads</string>
< > 		<string>マスタースプレッドの比較</string>
< < 		<string>Next Page</string>
< > 		<string>次のページ</string>
< < 		<string>Add Pages from File…</string>
< > 		<string>ファイルからページを追加...</string>
> > 		<string>포스터화</string>
< > 		<string>グリッドおよび軸マネージャー…</string>
> > 		<string>격자선 관리자…</string>
< > 		<string>厳密な拡大</string>
< < 		<string>Delete Row(s)</string>
< > 		<string>行を削除</string>
< < 		<string>Edit In Designer…</string>
< > 		<string>Designerで編集…</string>
< < 		<string>Align Away From Spine</string>
< > 		<string>小口側に揃える</string>
< < 		<string>Saved Date</string>
< > 		<string>保存日</string>
> > 		<string>조금씩 늘리기</string>
< > 		<string>カーブを結合</string>
> > 		<string>곡선 통합</string>
< > 		<string>テキストフレームに変換</string>
> > 		<string>텍스트 액자로 전환</string>
< > 		<string>全角ダッシュ</string>
> > 		<string>전각 줄표</string>
< > 		<string>入力中にスペルチェック</string>
> > 		<string>작성하는 동안 철자 확인</string>
< > 		<string>左に回転</string>
< < 		<string>Convert Artboards to Spreads</string>
< > 		<string>アートボードをスプレッドに変換</string>
< < 		<string>Update All Tables of Contents</string>
< > 		<string>すべての目次の更新</string>
< < 		<string>Data Merge Manager…</string>
< > 		<string>データ結合マネージャー…</string>
> > 		<string>왼쪽으로 회전</string>
< > 		<string>未使用のスタイルを削除</string>
< < 		<string>Insert Hyperlink...</string>
< > 		<string>ハイパーリンクを挿入...</string>
< < 		<string>Show Baseline Grid</string>
< > 		<string>ベースライングリッドを表示</string>
< < 		<string>Single Left Guillemet</string>
< > 		<string>左一重山括弧</string>
< < 		<string>Float Near Text</string>
< > 		<string>テキスト付近にフロート表示</string>
> > 		<string>미사용된 스타일 지우기</string>
< > 		<string>テキストスタイルをデフォルトとして保存</string>
< < 		<string>Convert to Picture Frame</string>
< > 		<string>ピクチャフレームに変換</string>
> > 		<string>텍스트 스타일을 기본값으로 저장</string>
< > 		<string>特定色域</string>
< < 		<string>Registered Trademark</string>
< > 		<string>登録商標</string>
< < 		<string>Toggle Case</string>
< > 		<string>大文字と小文字を切り替え</string>
< < 		<string>Zoom to Document</string>
< > 		<string>ドキュメントに合わせてズーム</string>
< < 		<string>Edit Hyperlink...</string>
< > 		<string>ハイパーリンクを編集...</string>
< > 		<string>除算</string>
> > 		<string>색상 선택</string>
< > 		<string>グループ化</string>
> > 		<string>그룹</string>
< > 		<string>内側に移動</string>
< < 		<string>Zero-Width Non-Joiner</string>
< > 		<string>ゼロ幅非接合子</string>
< < 		<string>Dump Vector Node Curves</string>
< > 		<string>ベクターノードカーブを廃棄</string>
< < 		<string>Title Case</string>
< > 		<string>タイトルケース</string>
> > 		<string>안으로 가져오기</string>
< > 		<string>フルスクリーン切り替え</string>
< < 		<string>Go to Page…</string>
< > 		<string>ページに移動…</string>
< < 		<string>Insert Row</string>
< > 		<string>行を挿入</string>
> > 		<string>전체 화면 시작</string>
< > 		<string>すべてグループ解除</string>
< < 		<string>Double Base Quote</string>
< > 		<string>二重ベース引用符</string>
< < 		<string>Merge Cells</string>
< > 		<string>セルを結合</string>
< < 		<string>Insert Field</string>
< > 		<string>フィールドを挿入</string>
< < 		<string>Page Number</string>
< > 		<string>ページ番号</string>
< < 		<string>Date and Time</string>
< > 		<string>日時</string>
> > 		<string>모든 그룹 풀기</string>
< > 		<string>チャンネルミキサー</string>
> > 		<string>채널 혼합</string>
< > 		<string>白黒</string>
< < 		<string>Indent to Here</string>
< > 		<string>ここにインデント</string>
< > 		<string>右揃え</string>
< < 		<string>Interpret PDF</string>
< > 		<string>PDFを解釈</string>
> > 		<string>흑백</string>
< > 		<string>縮小</string>
< < 		<string>Evenly Distribute Row(s)</string>
< > 		<string>行を均等配置</string>
> > 		<string>줄이기</string>
< > 		<string>減算</string>
> > 		<string>제거</string>
< > 		<string>自然な彩度</string>
> > 		<string>활기</string>
< > 		<string>ソフト校正</string>
< > 		<string>保存</string>
< < 		<string>Multiply</string>
< > 		<string>乗算</string>
> > 		<string>미리보기</string>
